Name,Age,Potential,Value,Wage,International Reputation,Weak Foot,Skill Moves,Position,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Composure,Marking
L. Messi,31,94,110500,565,5,4,4,21,170.18,159,84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,96,33
Cristiano Ronaldo,33,94,77000,405,5,4,5,26,187.96,183,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,95,28
Neymar Jr,26,93,118500,290,5,5,5,14,175.26,150,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,94,27
De Gea,27,93,72000,260,4,3,1,5,193.04,168,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,68,15
K. De Bruyne,27,92,102000,355,4,5,4,19,180.34,154,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,88,68
E. Hazard,27,91,93000,340,4,4,4,11,172.72,163,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,91,34
L. Modrić,32,91,67000,420,4,4,4,19,172.72,146,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,84,60
L. Suárez,31,91,80000,455,5,4,3,23,182.88,190,77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,62
Sergio Ramos,32,91,51000,380,4,3,3,18,182.88,181,66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,82,87
J. Oblak,25,93,68000,94,3,3,1,5,187.96,192,13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,70,27
R. Lewandowski,29,90,77000,205,4,4,4,26,182.88,176,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,86,34
T. Kroos,28,90,76500,355,4,5,3,9,182.88,168,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,85,72
D. Godín,32,90,44000,125,3,3,2,1,187.96,172,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,82,90
David Silva,32,90,60000,285,4,2,4,9,172.72,148,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,93,59
N. Kanté,27,90,63000,225,3,3,2,10,167.64,159,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,85,90
P. Dybala,24,94,89000,205,3,3,4,11,177.8,165,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,84,23
H. Kane,24,91,83500,205,3,4,3,26,187.96,196,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,89,56
A. Griezmann,27,90,78000,145,4,3,4,0,175.26,161,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,87,59
M. ter Stegen,26,92,58000,240,3,4,1,5,187.96,187,15,14,11,36,14,17,18,12,42,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,69,25
T. Courtois,26,90,53500,240,4,2,1,5,198.12,212,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,66,20
Sergio Busquets,29,89,51500,315,4,3,3,2,187.96,168,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,90,90
E. Cavani,31,89,60000,200,4,4,3,13,185.42,170,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,82,52
M. Neuer,32,89,38000,130,5,4,1,5,193.04,203,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,70,17
S. Agüero,30,89,64500,300,4,4,4,26,172.72,154,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,90,30
G. Chiellini,33,89,27000,215,4,3,2,8,187.96,187,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,84,93
K. Mbappé,19,95,81000,100,3,4,5,22,177.8,161,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,86,34
M. Salah,26,89,69500,255,3,3,4,22,175.26,157,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,91,38
Casemiro,26,90,59500,285,3,3,2,2,185.42,185,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,84,88
J. Rodríguez,26,89,69500,315,4,3,4,6,180.34,172,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,87,52
L. Insigne,27,88,62000,165,3,3,4,14,162.56,130,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,83,51
Isco,26,91,73500,315,3,3,4,14,175.26,174,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,86,60
C. Eriksen,26,91,73500,205,3,5,4,0,180.34,168,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,88,59
Coutinho,26,89,69500,340,3,4,5,14,172.72,150,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,85,55
P. Aubameyang,29,88,59000,265,3,4,4,12,187.96,176,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,86,27
M. Hummels,29,88,46000,160,4,3,3,8,190.5,203,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,91,88
Marcelo,30,88,43000,285,4,4,5,7,175.26,176,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,86,71
G. Bale,28,88,60000,355,4,3,4,26,185.42,181,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,86,54
H. Lloris,31,88,36000,150,4,1,1,5,187.96,181,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,65,29
G. Higuaín,30,88,57000,245,4,4,3,13,185.42,196,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,86,35
Thiago Silva,33,88,24000,165,4,3,2,18,182.88,181,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,81,88
